Percentage served,Time in ms
0,1795.821
1,1795.833
2,1795.833
3,1796.527
4,1796.527
5,1987.336
6,1987.386
7,1987.386
8,1987.584
9,1987.584
10,1987.806
11,1987.820
12,1987.820
13,1987.966
14,1988.121
15,1988.121
16,1988.223
17,1988.223
18,1988.226
19,1988.269
20,1988.269
21,1988.281
22,1988.281
23,1988.392
24,1988.599
25,1988.599
26,1988.652
27,1988.652
28,1988.675
29,1988.744
30,1988.744
31,1988.755
32,1988.799
33,1988.799
34,1988.851
35,1988.851
36,1989.458
37,1989.563
38,1989.563
39,1989.887
40,1989.887
41,1990.549
42,1990.788
43,1990.788
44,1990.789
45,1990.789
46,1990.896
47,1990.986
48,1990.986
49,1991.027
50,1991.362
51,1991.362
52,1991.589
53,1991.589
54,1991.914
55,1991.947
56,1991.947
57,1991.997
58,1991.997
59,1992.432
60,1992.477
61,1992.477
62,1992.485
63,1992.485
64,1992.631
65,1992.713
66,1992.713
67,1992.921
68,1992.921
69,1992.930
70,1992.989
71,1992.989
72,1993.026
73,1993.042
74,1993.042
75,1993.044
76,1993.044
77,1993.061
78,1993.134
79,1993.134
80,1993.140
81,1993.140
82,1993.384
83,1993.619
84,1993.619
85,1993.832
86,1993.832
87,1993.999
88,1994.154
89,1994.154
90,1994.271
91,1994.372
92,1994.372
93,1994.513
94,1994.513
95,1994.645
96,1997.320
97,1997.320
98,1997.906
99,1997.906
100,1997.906
