Percentage served,Time in ms
0,1194.046
1,1194.059
2,1194.210
3,1194.270
4,1194.306
5,1194.322
6,1194.359
7,1194.361
8,1194.403
9,1194.452
10,1194.467
11,1194.491
12,1194.532
13,1194.544
14,1194.575
15,1194.603
16,1194.606
17,1194.636
18,1194.639
19,1194.659
20,1194.688
21,1194.718
22,1194.736
23,1194.746
24,1194.810
25,1194.835
26,1194.878
27,1194.919
28,1194.953
29,1194.966
30,1194.992
31,1195.018
32,1195.052
33,1195.103
34,1195.114
35,1195.120
36,1195.142
37,1195.210
38,1195.240
39,1195.252
40,1195.345
41,1195.402
42,1195.590
43,1195.685
44,1195.846
45,1195.859
46,1196.477
47,1196.517
48,1196.604
49,1196.638
50,1196.638
51,1196.753
52,1196.785
53,1196.824
54,1196.844
55,1196.922
56,1196.953
57,1196.983
58,1197.010
59,1197.034
60,1197.036
61,1197.038
62,1197.049
63,1197.071
64,1197.094
65,1197.133
66,1197.206
67,1197.224
68,1197.232
69,1197.240
70,1197.247
71,1197.300
72,1197.324
73,1197.398
74,1197.400
75,1197.429
76,1197.454
77,1197.489
78,1197.576
79,1197.592
80,1197.631
81,1197.644
82,1197.675
83,1197.680
84,1197.680
85,1197.681
86,1197.723
87,1197.865
88,1197.867
89,1198.074
90,1198.257
91,1198.300
92,1198.304
93,1198.694
94,1198.995
95,1199.920
96,1199.937
97,1199.977
98,1200.130
99,1201.652
100,1201.652
