Percentage served,Time in ms
0,1192.958
1,1193.019
2,1193.040
3,1193.097
4,1193.532
5,1193.712
6,1194.141
7,1194.154
8,1194.187
9,1194.232
10,1195.159
11,1195.636
12,1195.679
13,1195.995
14,1196.051
15,1196.178
16,1196.375
17,1196.396
18,1196.521
19,1196.688
20,1196.872
21,1198.249
22,1203.172
23,1233.641
24,1233.926
25,1234.170
26,1234.170
27,1234.299
28,1234.323
29,1234.757
30,1234.763
31,1234.869
32,1234.886
33,1234.977
34,1234.998
35,1235.024
36,1235.049
37,1235.057
38,1235.059
39,1235.098
40,1235.110
41,1235.291
42,1235.526
43,1235.722
44,1235.727
45,1235.737
46,1235.799
47,1235.802
48,1235.805
49,1235.878
50,1235.881
51,1235.892
52,1235.914
53,1235.940
54,1235.968
55,1236.002
56,1236.027
57,1236.067
58,1236.068
59,1236.108
60,1236.116
61,1236.139
62,1236.153
63,1236.261
64,1236.303
65,1236.303
66,1236.386
67,1236.462
68,1236.683
69,1236.700
70,1236.759
71,1236.851
72,1236.874
73,1236.881
74,1236.890
75,1236.893
76,1236.893
77,1236.917
78,1237.058
79,1237.118
80,1238.120
81,1238.183
82,1238.426
83,1238.482
84,1238.581
85,1239.417
86,1239.488
87,1239.496
88,1239.701
89,1239.739
90,1239.799
91,1239.892
92,1239.973
93,1239.979
94,1239.989
95,1242.760
96,1243.895
97,1244.062
98,1391.297
99,1391.694
100,1391.694
