Percentage served,Time in ms
0,1789.095
1,1789.427
2,1789.427
3,1789.432
4,1789.440
5,1789.440
6,1789.453
7,1789.473
8,1789.473
9,1789.486
10,1789.516
11,1789.516
12,1789.926
13,1790.061
14,1790.061
15,1790.160
16,1790.222
17,1790.222
18,1790.314
19,1790.385
20,1790.385
21,1790.595
22,1790.599
23,1790.599
24,1790.662
25,1790.710
26,1790.710
27,1790.919
28,1790.940
29,1790.940
30,1790.954
31,1791.018
32,1791.018
33,1791.035
34,1791.069
35,1791.069
36,1791.203
37,1791.288
38,1791.288
39,1791.562
40,1791.646
41,1791.646
42,1792.627
43,1792.845
44,1792.845
45,1792.873
46,1793.365
47,1793.365
48,1793.580
49,1793.675
50,1793.728
51,1793.728
52,1793.847
53,1793.982
54,1793.982
55,1794.257
56,1794.397
57,1794.397
58,1794.630
59,1794.959
60,1794.959
61,1794.979
62,1795.505
63,1795.505
64,1796.818
65,1827.988
66,1827.988
67,1828.637
68,1829.233
69,1829.233
70,1829.534
71,1829.767
72,1829.767
73,1830.632
74,1831.622
75,1831.622
76,1832.074
77,1832.292
78,1832.292
79,1832.580
80,1832.665
81,1832.665
82,1832.733
83,1832.766
84,1832.766
85,1833.028
86,1833.567
87,1833.567
88,1834.019
89,1834.127
90,1834.127
91,1834.308
92,1834.524
93,1834.524
94,1834.527
95,1834.651
96,1834.651
97,1835.510
98,1991.560
99,1991.560
100,1991.560
