Percentage served,Time in ms
0,107.795
1,108.162
2,108.243
3,108.395
4,108.528
5,108.810
6,108.917
7,109.168
8,109.435
9,110.092
10,121.743
11,121.999
12,122.171
13,122.320
14,122.451
15,122.589
16,122.718
17,122.896
18,122.987
19,123.150
20,123.258
21,123.378
22,123.840
23,130.922
24,131.283
25,131.417
26,131.476
27,131.565
28,131.589
29,131.703
30,131.780
31,131.849
32,131.938
33,132.047
34,132.129
35,132.286
36,132.488
37,132.613
38,132.702
39,132.836
40,133.177
41,135.692
42,136.050
43,136.160
44,136.237
45,136.317
46,136.415
47,136.468
48,136.532
49,136.624
50,136.727
51,136.853
52,136.960
53,137.086
54,137.196
55,137.308
56,137.418
57,137.579
58,137.983
59,144.987
60,145.097
61,145.252
62,145.399
63,145.455
64,145.526
65,145.674
66,145.801
67,145.979
68,146.050
69,146.338
70,146.552
71,146.667
72,146.821
73,147.034
74,147.271
75,150.036
76,150.207
77,150.429
78,150.882
79,151.174
80,151.452
81,151.816
82,154.786
83,154.974
84,155.132
85,155.276
86,155.444
87,155.745
88,159.434
89,159.519
90,159.602
91,159.714
92,159.764
93,159.803
94,159.896
95,159.982
96,160.156
97,163.806
98,164.380
99,164.550
100,167.117
