Percentage served,Time in ms
0,531.124
1,531.672
2,531.849
3,532.698
4,535.624
5,535.766
6,536.463
7,538.305
8,539.176
9,565.516
10,601.808
11,602.512
12,605.041
13,606.108
14,621.199
15,649.188
16,649.397
17,649.586
18,650.201
19,650.704
20,650.827
21,651.641
22,651.686
23,653.535
24,654.606
25,654.627
26,664.930
27,673.012
28,673.146
29,673.253
30,676.838
31,676.925
32,677.123
33,677.123
34,678.224
35,680.293
36,680.357
37,681.913
38,690.417
39,692.596
40,706.512
41,706.579
42,708.059
43,711.236
44,716.909
45,717.088
46,717.211
47,717.624
48,718.131
49,721.036
50,738.808
51,739.482
52,741.252
53,741.278
54,741.717
55,742.060
56,743.218
57,752.969
58,753.995
59,754.184
60,762.274
61,762.831
62,764.496
63,766.110
64,766.216
65,767.021
66,772.737
67,777.177
68,777.505
69,779.358
70,789.090
71,789.755
72,789.775
73,789.912
74,790.147
75,790.319
76,790.419
77,790.506
78,790.695
79,790.698
80,791.781
81,793.766
82,799.118
83,804.957
84,810.150
85,810.215
86,812.934
87,813.759
88,828.615
89,829.115
90,829.330
91,829.824
92,849.991
93,850.424
94,869.060
95,909.177
96,927.123
97,990.548
98,1144.818
99,1247.027
100,1378.849
