Percentage served,Time in ms
0,110.761
1,111.247
2,111.450
3,111.604
4,111.789
5,111.929
6,112.281
7,112.396
8,113.202
9,113.892
10,125.155
11,125.315
12,125.471
13,125.570
14,125.680
15,125.738
16,125.898
17,126.172
18,126.286
19,126.412
20,126.628
21,127.142
22,128.322
23,129.484
24,129.935
25,134.303
26,134.441
27,134.533
28,134.661
29,134.708
30,134.852
31,134.955
32,135.068
33,135.159
34,135.235
35,135.409
36,135.534
37,135.684
38,135.815
39,136.202
40,137.007
41,138.371
42,139.019
43,139.166
44,139.359
45,139.484
46,139.544
47,139.650
48,139.740
49,139.837
50,139.998
51,140.154
52,140.268
53,140.368
54,140.463
55,140.669
56,140.771
57,141.025
58,141.776
59,144.102
60,144.695
61,148.521
62,148.770
63,149.065
64,149.228
65,149.488
66,149.737
67,150.009
68,150.697
69,152.279
70,152.847
71,153.170
72,153.398
73,153.678
74,153.951
75,154.255
76,154.483
77,154.960
78,156.471
79,157.829
80,158.140
81,158.251
82,158.447
83,158.560
84,158.668
85,158.929
86,161.326
87,162.608
88,162.691
89,162.846
90,162.962
91,163.089
92,163.238
93,163.344
94,163.506
95,164.059
96,165.596
97,167.395
98,167.623
99,168.123
100,172.959
