Percentage served,Time in ms
0,269.719
1,270.417
2,270.756
3,270.899
4,271.050
5,271.197
6,271.902
7,272.587
8,272.980
9,273.133
10,273.485
11,273.721
12,274.530
13,304.625
14,305.145
15,305.280
16,305.572
17,306.467
18,306.818
19,307.250
20,307.497
21,307.670
22,307.887
23,308.822
24,328.985
25,329.155
26,329.237
27,329.251
28,329.439
29,329.576
30,329.930
31,330.195
32,330.336
33,330.698
34,331.255
35,331.357
36,331.535
37,331.654
38,331.733
39,331.965
40,332.072
41,332.334
42,332.618
43,333.663
44,339.888
45,340.364
46,340.673
47,340.815
48,341.002
49,341.161
50,341.324
51,341.406
52,341.760
53,341.817
54,342.685
55,342.816
56,343.415
57,343.807
58,343.962
59,344.135
60,362.879
61,363.241
62,363.869
63,363.978
64,364.230
65,367.404
66,374.740
67,375.075
68,375.350
69,375.629
70,376.191
71,378.760
72,387.662
73,387.836
74,388.094
75,388.476
76,388.593
77,388.900
78,392.078
79,399.116
80,399.354
81,399.439
82,399.561
83,399.634
84,399.671
85,399.712
86,399.809
87,399.911
88,399.922
89,400.105
90,400.383
91,400.687
92,401.061
93,410.536
94,410.765
95,411.068
96,411.173
97,411.199
98,411.773
99,412.010
100,441.074
