Percentage served,Time in ms
0,244.845
1,245.469
2,245.912
3,247.051
4,247.937
5,248.394
6,248.712
7,271.151
8,271.549
9,271.721
10,272.496
11,272.987
12,273.322
13,275.248
14,276.447
15,276.796
16,277.673
17,278.287
18,278.574
19,279.295
20,285.259
21,285.668
22,286.196
23,289.567
24,297.674
25,298.290
26,298.386
27,298.596
28,298.828
29,298.918
30,299.381
31,300.091
32,301.069
33,305.839
34,307.767
35,308.344
36,308.666
37,308.749
38,308.973
39,309.107
40,309.278
41,309.943
42,310.416
43,311.295
44,311.619
45,316.056
46,317.370
47,318.517
48,328.905
49,329.464
50,329.922
51,330.208
52,330.414
53,330.628
54,330.839
55,331.168
56,331.486
57,331.914
58,332.382
59,332.689
60,333.952
61,338.637
62,339.432
63,341.322
64,341.491
65,341.813
66,341.925
67,342.123
68,342.498
69,342.745
70,342.981
71,344.027
72,345.987
73,348.078
74,350.876
75,351.424
76,351.543
77,352.271
78,360.588
79,361.394
80,361.625
81,361.831
82,362.201
83,363.915
84,365.094
85,370.046
86,371.440
87,372.374
88,376.005
89,377.185
90,378.749
91,399.851
92,400.189
93,400.302
94,400.433
95,401.019
96,401.622
97,411.814
98,412.129
99,419.001
100,421.013
