Percentage served,Time in ms
0,111.702
1,112.160
2,112.416
3,112.531
4,112.676
5,112.828
6,112.999
7,113.078
8,113.188
9,113.313
10,113.416
11,113.487
12,113.792
13,113.935
14,114.694
15,125.737
16,126.019
17,126.212
18,126.361
19,126.470
20,126.594
21,126.746
22,126.836
23,126.909
24,127.067
25,127.160
26,127.370
27,127.569
28,128.829
29,135.314
30,135.458
31,135.648
32,135.698
33,135.816
34,135.867
35,135.997
36,136.145
37,136.296
38,136.481
39,136.573
40,136.607
41,136.670
42,136.797
43,136.928
44,137.054
45,137.270
46,137.583
47,139.760
48,140.023
49,140.142
50,140.268
51,140.334
52,140.417
53,140.513
54,140.661
55,140.811
56,140.997
57,141.119
58,141.205
59,141.298
60,141.422
61,141.558
62,141.746
63,142.011
64,143.893
65,149.259
66,149.436
67,149.516
68,149.644
69,149.700
70,149.832
71,150.015
72,150.279
73,150.677
74,151.151
75,153.505
76,153.922
77,154.148
78,154.402
79,154.520
80,154.806
81,155.602
82,158.578
83,159.030
84,159.199
85,159.374
86,159.527
87,159.674
88,159.984
89,161.152
90,163.343
91,163.569
92,163.732
93,163.928
94,164.030
95,164.233
96,164.918
97,167.914
98,168.421
99,168.868
100,172.850
