Percentage served,Time in ms
0,107.641
1,108.206
2,108.307
3,108.420
4,108.529
5,108.645
6,108.799
7,108.972
8,109.178
9,109.487
10,110.293
11,121.836
12,122.119
13,122.277
14,122.487
15,122.744
16,122.995
17,123.108
18,123.299
19,123.478
20,123.664
21,123.913
22,125.134
23,126.827
24,131.232
25,131.497
26,131.615
27,131.748
28,131.836
29,131.962
30,132.046
31,132.136
32,132.196
33,132.318
34,132.471
35,132.680
36,132.883
37,133.080
38,134.209
39,136.008
40,136.151
41,136.228
42,136.268
43,136.313
44,136.457
45,136.522
46,136.577
47,136.710
48,136.765
49,136.867
50,136.966
51,137.091
52,137.212
53,137.310
54,137.400
55,137.659
56,137.868
57,138.447
58,144.944
59,145.356
60,145.471
61,145.541
62,145.777
63,145.930
64,146.257
65,146.696
66,146.892
67,146.992
68,147.227
69,149.648
70,149.903
71,150.143
72,150.340
73,150.747
74,151.206
75,151.513
76,151.756
77,154.020
78,155.021
79,155.129
80,155.250
81,155.312
82,155.399
83,155.510
84,155.663
85,159.328
86,159.495
87,159.611
88,159.789
89,159.882
90,159.992
91,160.134
92,160.256
93,160.898
94,163.910
95,164.289
96,164.389
97,164.524
98,164.677
99,164.869
100,167.842
