Percentage served,Time in ms
0,425.868
1,425.882
2,426.288
3,426.575
4,426.711
5,427.108
6,427.348
7,427.485
8,428.165
9,428.388
10,429.124
11,430.354
12,432.289
13,481.576
14,482.237
15,482.561
16,482.790
17,483.361
18,485.332
19,485.611
20,485.831
21,486.155
22,486.218
23,487.467
24,499.823
25,519.448
26,519.750
27,519.947
28,520.187
29,520.294
30,520.314
31,520.409
32,520.486
33,520.608
34,520.698
35,520.765
36,520.884
37,521.004
38,521.223
39,521.492
40,522.163
41,522.627
42,524.459
43,526.083
44,532.972
45,538.123
46,538.205
47,538.573
48,538.822
49,538.981
50,539.145
51,539.255
52,539.372
53,539.647
54,541.086
55,541.301
56,541.587
57,541.788
58,542.120
59,543.334
60,575.577
61,576.217
62,576.572
63,579.968
64,580.300
65,580.903
66,581.396
67,590.166
68,593.067
69,594.032
70,594.641
71,598.454
72,598.582
73,599.270
74,599.478
75,613.847
76,613.937
77,614.386
78,614.784
79,615.114
80,615.533
81,616.107
82,631.656
83,631.867
84,632.236
85,632.264
86,632.349
87,632.505
88,632.926
89,633.075
90,633.163
91,633.439
92,633.663
93,633.865
94,634.729
95,650.596
96,650.782
97,650.962
98,651.123
99,651.565
100,652.576
