Percentage served,Time in ms
0,426.068
1,426.406
2,426.672
3,427.535
4,427.706
5,428.557
6,428.881
7,429.862
8,430.893
9,481.465
10,482.027
11,482.337
12,482.973
13,483.560
14,484.879
15,485.157
16,485.774
17,486.227
18,486.370
19,487.034
20,488.151
21,511.683
22,519.550
23,520.091
24,520.204
25,520.321
26,520.516
27,520.839
28,520.924
29,520.970
30,521.119
31,521.169
32,521.506
33,522.652
34,523.990
35,524.512
36,537.642
37,538.215
38,538.502
39,538.975
40,539.071
41,539.257
42,539.291
43,539.401
44,539.472
45,539.775
46,539.990
47,540.304
48,540.410
49,541.645
50,541.904
51,542.232
52,542.633
53,542.900
54,542.943
55,543.773
56,575.212
57,575.533
58,575.717
59,576.003
60,576.777
61,579.448
62,580.442
63,580.787
64,580.817
65,588.121
66,593.202
67,594.369
68,599.295
69,599.791
70,600.434
71,613.722
72,614.039
73,614.218
74,614.342
75,614.392
76,615.016
77,615.231
78,616.300
79,616.956
80,631.801
81,632.167
82,632.188
83,632.202
84,632.367
85,632.438
86,632.471
87,632.501
88,632.652
89,632.928
90,632.970
91,633.282
92,633.622
93,633.838
94,635.100
95,650.098
96,650.759
97,650.885
98,651.522
99,652.370
100,653.567
