Percentage served,Time in ms
0,107.951
1,108.215
2,108.382
3,108.520
4,108.698
5,108.859
6,108.978
7,109.042
8,109.126
9,109.248
10,109.412
11,109.596
12,109.871
13,121.707
14,121.898
15,122.046
16,122.226
17,122.385
18,122.554
19,122.859
20,122.999
21,123.084
22,123.233
23,123.430
24,126.475
25,131.244
26,131.404
27,131.538
28,131.664
29,131.762
30,131.793
31,131.842
32,131.896
33,131.958
34,132.075
35,132.149
36,132.331
37,132.463
38,132.579
39,132.780
40,132.894
41,133.048
42,133.337
43,133.837
44,136.024
45,136.160
46,136.244
47,136.363
48,136.410
49,136.539
50,136.615
51,136.653
52,136.785
53,136.965
54,137.081
55,137.312
56,137.396
57,137.456
58,137.538
59,137.945
60,144.907
61,145.239
62,145.411
63,145.486
64,145.661
65,146.239
66,149.694
67,149.909
68,149.993
69,150.210
70,150.543
71,153.695
72,154.931
73,155.122
74,155.205
75,155.359
76,155.449
77,155.614
78,159.277
79,159.473
80,159.551
81,159.620
82,159.727
83,159.772
84,159.805
85,159.865
86,159.958
87,160.035
88,160.083
89,160.141
90,160.249
91,160.323
92,161.747
93,163.969
94,164.137
95,164.324
96,164.440
97,164.520
98,164.727
99,165.025
100,614.814
