Percentage served,Time in ms
0,425.760
1,426.006
2,426.627
3,426.959
4,427.205
5,428.043
6,429.973
7,430.186
8,430.549
9,432.120
10,457.682
11,481.672
12,482.331
13,483.215
14,484.549
15,484.889
16,485.339
17,485.509
18,485.760
19,486.447
20,488.691
21,493.417
22,498.075
23,511.646
24,512.149
25,518.842
26,520.075
27,520.562
28,520.828
29,521.096
30,521.989
31,522.700
32,523.508
33,523.752
34,523.890
35,524.262
36,524.556
37,524.833
38,525.371
39,526.476
40,538.308
41,538.566
42,538.884
43,539.013
44,539.035
45,539.324
46,539.600
47,539.732
48,539.918
49,540.478
50,541.405
51,542.008
52,542.424
53,542.547
54,544.362
55,545.740
56,552.896
57,561.891
58,568.039
59,571.657
60,575.873
61,578.151
62,583.949
63,584.974
64,587.799
65,588.303
66,593.653
67,594.219
68,595.804
69,605.435
70,613.836
71,614.079
72,614.468
73,615.577
74,617.369
75,621.558
76,630.702
77,631.453
78,631.845
79,632.065
80,632.264
81,632.286
82,632.479
83,632.656
84,632.692
85,632.883
86,633.266
87,633.306
88,633.655
89,645.321
90,650.107
91,651.055
92,651.294
93,651.392
94,651.674
95,664.271
96,679.692
97,684.707
98,693.696
99,696.349
100,714.572
