Percentage served,Time in ms
0,107.818
1,108.292
2,108.482
3,108.717
4,109.180
5,109.485
6,110.012
7,122.055
8,122.354
9,122.914
10,123.350
11,125.405
12,127.634
13,131.549
14,131.690
15,131.927
16,132.048
17,132.296
18,132.671
19,132.842
20,134.631
21,136.119
22,136.364
23,136.421
24,136.576
25,136.849
26,137.212
27,137.894
28,145.370
29,145.947
30,149.821
31,150.092
32,150.486
33,151.630
34,154.453
35,155.273
36,155.536
37,156.152
38,158.781
39,159.661
40,159.837
41,159.965
42,160.263
43,162.899
44,164.367
45,164.658
46,165.449
47,166.334
48,168.098
49,169.618
50,171.915
51,173.294
52,175.880
53,177.021
54,178.305
55,179.477
56,180.891
57,181.678
58,183.468
59,186.077
60,187.237
61,189.159
62,191.378
63,192.438
64,194.220
65,195.162
66,195.930
67,196.561
68,197.211
69,198.460
70,199.497
71,200.343
72,200.838
73,201.599
74,202.351
75,203.170
76,204.627
77,205.221
78,206.635
79,207.504
80,208.324
81,209.301
82,210.437
83,211.915
84,212.815
85,214.409
86,216.354
87,217.547
88,218.291
89,219.076
90,219.608
91,221.439
92,222.699
93,225.232
94,226.435
95,229.141
96,231.268
97,234.196
98,236.110
99,241.590
100,250.174
