Percentage served,Time in ms
0,122.455
1,122.819
2,123.045
3,123.251
4,123.513
5,123.820
6,124.008
7,124.554
8,124.887
9,125.567
10,129.543
11,136.286
12,136.688
13,137.033
14,137.420
15,137.600
16,137.843
17,138.019
18,138.245
19,138.627
20,139.399
21,141.331
22,145.422
23,145.951
24,146.156
25,146.326
26,146.466
27,146.603
28,146.777
29,147.011
30,147.300
31,147.494
32,147.679
33,147.901
34,148.791
35,149.758
36,150.364
37,150.700
38,150.891
39,150.998
40,151.123
41,151.270
42,151.371
43,151.526
44,151.682
45,151.781
46,151.915
47,152.150
48,152.321
49,152.499
50,152.842
51,153.148
52,154.207
53,156.253
54,159.382
55,159.832
56,159.999
57,160.296
58,160.642
59,160.900
60,161.427
61,162.133
62,162.953
63,164.131
64,164.517
65,164.843
66,165.084
67,165.341
68,165.529
69,165.915
70,166.391
71,167.315
72,168.128
73,169.496
74,169.829
75,170.086
76,170.349
77,170.835
78,172.466
79,173.543
80,174.096
81,174.274
82,174.347
83,174.516
84,174.699
85,174.928
86,175.102
87,175.483
88,176.005
89,177.360
90,178.395
91,178.832
92,179.087
93,179.243
94,179.445
95,179.776
96,179.964
97,180.488
98,181.622
99,184.489
100,190.684
