Percentage served,Time in ms
0,439.739
1,440.640
2,441.068
3,441.722
4,442.051
5,442.438
6,443.491
7,444.339
8,445.004
9,445.586
10,445.710
11,446.070
12,446.283
13,446.698
14,453.215
15,496.893
16,497.010
17,497.310
18,497.362
19,497.739
20,498.953
21,499.606
22,500.192
23,500.426
24,500.652
25,501.968
26,503.100
27,534.135
28,534.503
29,534.665
30,534.738
31,534.804
32,534.967
33,535.270
34,535.454
35,535.597
36,535.801
37,536.072
38,536.161
39,536.374
40,537.706
41,538.514
42,538.625
43,538.919
44,539.337
45,539.562
46,540.445
47,543.964
48,552.875
49,553.266
50,553.415
51,553.612
52,553.687
53,553.774
54,553.851
55,554.205
56,554.564
57,554.862
58,555.338
59,555.575
60,555.722
61,556.635
62,556.910
63,557.048
64,560.046
65,588.667
66,589.076
67,589.373
68,590.022
69,590.378
70,590.598
71,590.770
72,594.750
73,608.127
74,609.697
75,612.415
76,627.682
77,627.800
78,628.929
79,629.379
80,630.283
81,635.344
82,646.512
83,646.684
84,647.257
85,647.415
86,647.736
87,647.812
88,647.975
89,648.249
90,648.463
91,648.504
92,648.603
93,649.648
94,651.074
95,664.057
96,664.904
97,665.656
98,666.119
99,666.544
100,666.845
