Percentage served,Time in ms
0,428.789
1,430.214
2,431.078
3,432.052
4,434.150
5,435.321
6,436.674
7,441.343
8,454.129
9,484.837
10,485.423
11,487.120
12,488.295
13,488.730
14,490.382
15,491.037
16,492.285
17,522.310
18,522.646
19,523.532
20,523.770
21,523.964
22,524.698
23,525.404
24,525.885
25,526.775
26,527.257
27,529.026
28,529.303
29,531.946
30,536.375
31,541.500
32,541.773
33,541.999
34,542.446
35,542.494
36,542.640
37,542.667
38,542.947
39,543.670
40,544.081
41,545.421
42,545.784
43,546.026
44,546.333
45,546.801
46,547.440
47,549.218
48,549.688
49,550.948
50,565.101
51,568.953
52,575.767
53,578.177
54,578.409
55,579.130
56,584.467
57,585.402
58,586.291
59,588.617
60,591.912
61,593.705
62,596.786
63,597.466
64,597.605
65,599.453
66,600.396
67,602.432
68,603.947
69,616.807
70,617.196
71,617.526
72,617.863
73,618.379
74,618.714
75,619.013
76,619.456
77,620.060
78,630.151
79,634.994
80,635.366
81,635.653
82,635.763
83,636.086
84,636.168
85,636.443
86,636.938
87,640.214
88,641.549
89,649.843
90,654.135
91,660.675
92,662.413
93,665.696
94,670.599
95,683.735
96,690.217
97,695.455
98,697.893
99,724.307
100,744.484
