Percentage served,Time in ms
0,111.496
1,111.982
2,112.948
3,114.550
4,115.612
5,125.414
6,126.215
7,126.309
8,126.515
9,128.083
10,129.401
11,129.721
12,135.019
13,135.272
14,135.358
15,136.145
16,138.001
17,139.031
18,139.529
19,139.989
20,140.389
21,140.997
22,141.488
23,142.309
24,142.897
25,143.598
26,144.598
27,149.418
28,151.082
29,153.025
30,153.945
31,154.601
32,155.027
33,156.554
34,158.500
35,158.783
36,159.290
37,162.223
38,163.134
39,163.465
40,163.705
41,165.927
42,166.703
43,167.388
44,168.750
45,170.552
46,173.178
47,176.212
48,178.430
49,180.120
50,181.515
51,183.521
52,184.800
53,185.476
54,187.215
55,187.847
56,188.793
57,189.805
58,190.789
59,193.045
60,194.677
61,195.914
62,196.186
63,196.678
64,197.421
65,197.695
66,198.838
67,200.863
68,202.625
69,203.175
70,204.705
71,205.124
72,205.704
73,206.581
74,207.125
75,207.918
76,208.564
77,209.742
78,210.321
79,211.155
80,212.196
81,212.665
82,213.460
83,214.541
84,214.908
85,215.691
86,216.958
87,217.639
88,218.997
89,220.096
90,221.229
91,222.454
92,225.127
93,226.495
94,228.241
95,229.227
96,230.892
97,234.204
98,235.526
99,241.207
100,254.081
