Percentage served,Time in ms
0,509.714
1,509.945
2,511.451
3,511.852
4,512.611
5,514.143
6,514.296
7,514.984
8,515.189
9,515.928
10,517.149
11,521.962
12,537.515
13,539.424
14,575.750
15,575.759
16,576.585
17,578.848
18,579.146
19,579.389
20,581.192
21,582.650
22,605.848
23,608.225
24,619.209
25,620.316
26,621.371
27,621.578
28,621.887
29,621.962
30,622.760
31,625.224
32,625.563
33,625.761
34,626.265
35,626.996
36,627.070
37,627.592
38,629.526
39,641.861
40,642.362
41,643.322
42,643.341
43,643.512
44,643.627
45,643.686
46,644.321
47,645.341
48,647.011
49,648.061
50,648.249
51,648.391
52,649.222
53,652.614
54,653.305
55,653.716
56,653.829
57,655.942
58,658.572
59,660.040
60,677.365
61,678.484
62,678.756
63,681.075
64,685.762
65,686.633
66,693.194
67,708.702
68,708.992
69,709.226
70,711.395
71,721.281
72,732.047
73,732.490
74,732.563
75,733.030
76,733.267
77,733.693
78,733.969
79,753.458
80,753.774
81,754.306
82,754.416
83,754.873
84,755.067
85,755.152
86,755.171
87,755.399
88,755.697
89,756.086
90,757.099
91,775.668
92,776.349
93,776.534
94,776.916
95,777.573
96,779.499
97,793.606
98,793.839
99,816.769
100,817.410
