Percentage served,Time in ms
0,111.665
1,112.091
2,112.292
3,112.397
4,112.460
5,112.624
6,112.898
7,113.108
8,113.370
9,113.881
10,125.886
11,126.027
12,126.317
13,126.526
14,126.832
15,127.119
16,127.213
17,127.518
18,127.737
19,129.048
20,131.959
21,135.425
22,135.515
23,135.606
24,135.680
25,135.759
26,135.807
27,135.874
28,135.959
29,136.024
30,136.156
31,136.274
32,136.376
33,136.482
34,136.612
35,136.746
36,136.903
37,137.015
38,137.926
39,139.925
40,140.014
41,140.152
42,140.286
43,140.384
44,140.452
45,140.525
46,140.578
47,140.659
48,140.730
49,140.799
50,140.894
51,140.984
52,141.097
53,141.211
54,141.376
55,141.591
56,141.896
57,143.769
58,148.864
59,149.489
60,149.644
61,149.854
62,150.484
63,150.915
64,152.195
65,153.687
66,154.005
67,154.164
68,154.268
69,154.539
70,155.220
71,155.409
72,155.582
73,157.986
74,158.440
75,158.980
76,159.173
77,159.353
78,159.482
79,159.995
80,163.408
81,163.554
82,163.671
83,163.808
84,163.855
85,163.897
86,163.964
87,164.063
88,164.146
89,164.254
90,164.353
91,164.545
92,165.203
93,167.976
94,168.188
95,168.308
96,168.479
97,168.727
98,168.901
99,169.712
100,407.553
