Percentage served,Time in ms
0,108.021
1,108.408
2,108.501
3,108.700
4,108.923
5,109.093
6,109.192
7,109.261
8,109.472
9,109.534
10,109.659
11,109.949
12,113.277
13,121.896
14,122.064
15,122.404
16,122.588
17,122.749
18,122.844
19,123.039
20,123.203
21,123.409
22,123.911
23,126.052
24,127.430
25,131.498
26,131.663
27,131.761
28,131.855
29,131.917
30,131.985
31,132.052
32,132.105
33,132.244
34,132.332
35,132.470
36,132.641
37,132.780
38,132.840
39,132.959
40,133.104
41,133.291
42,133.748
43,135.816
44,136.159
45,136.235
46,136.364
47,136.444
48,136.509
49,136.634
50,136.811
51,136.945
52,137.108
53,137.219
54,137.359
55,137.490
56,137.589
57,137.782
58,138.056
59,140.974
60,145.611
61,145.759
62,145.928
63,146.327
64,149.778
65,149.942
66,150.050
67,150.159
68,150.373
69,150.698
70,151.426
71,154.113
72,155.095
73,155.269
74,155.446
75,155.554
76,155.793
77,156.615
78,159.580
79,159.658
80,159.800
81,159.875
82,159.904
83,159.959
84,160.000
85,160.065
86,160.162
87,160.213
88,160.361
89,160.457
90,161.214
91,162.139
92,164.110
93,164.315
94,164.471
95,164.606
96,164.656
97,164.794
98,164.930
99,165.140
100,167.519
