Percentage served,Time in ms
0,531.719
1,531.972
2,532.279
3,532.554
4,532.699
5,532.829
6,533.212
7,533.617
8,535.249
9,536.369
10,536.689
11,536.973
12,537.028
13,537.363
14,537.746
15,538.422
16,564.970
17,600.388
18,600.827
19,602.162
20,603.167
21,604.660
22,604.986
23,605.430
24,605.932
25,607.323
26,608.671
27,610.462
28,648.573
29,649.520
30,649.835
31,649.894
32,650.083
33,650.857
34,651.315
35,654.251
36,654.348
37,654.456
38,654.629
39,655.110
40,656.426
41,656.529
42,658.364
43,671.595
44,671.906
45,672.425
46,672.500
47,672.830
48,672.944
49,673.012
50,673.101
51,673.136
52,673.254
53,673.362
54,673.549
55,673.709
56,674.101
57,675.406
58,675.659
59,676.682
60,677.093
61,677.723
62,678.145
63,679.131
64,686.681
65,687.747
66,716.812
67,717.339
68,717.917
69,718.220
70,720.195
71,724.898
72,740.326
73,740.798
74,740.870
75,741.005
76,741.203
77,741.778
78,743.916
79,744.060
80,748.555
81,765.960
82,766.371
83,767.418
84,768.038
85,768.177
86,769.502
87,789.158
88,789.520
89,789.543
90,790.076
91,790.223
92,790.495
93,790.499
94,791.675
95,792.005
96,812.230
97,812.813
98,813.103
99,813.770
100,829.137
