Percentage served,Time in ms
0,426.591
1,426.952
2,427.238
3,427.707
4,427.848
5,428.476
6,428.717
7,429.229
8,429.968
9,430.411
10,430.607
11,430.719
12,430.903
13,432.607
14,481.981
15,483.559
16,484.132
17,485.139
18,485.475
19,485.834
20,486.014
21,486.923
22,489.359
23,499.690
24,500.326
25,503.057
26,520.123
27,520.574
28,520.832
29,520.940
30,521.135
31,521.177
32,521.246
33,521.319
34,521.338
35,521.407
36,521.745
37,522.042
38,523.032
39,523.900
40,523.977
41,524.320
42,524.546
43,526.064
44,538.618
45,538.687
46,539.035
47,539.239
48,539.421
49,539.897
50,540.235
51,540.389
52,542.190
53,542.592
54,542.812
55,543.421
56,543.560
57,544.324
58,556.567
59,575.133
60,575.721
61,575.855
62,576.169
63,581.466
64,582.394
65,591.658
66,593.960
67,594.251
68,594.583
69,595.077
70,596.357
71,599.162
72,599.436
73,601.753
74,609.737
75,610.164
76,612.234
77,614.373
78,614.874
79,615.533
80,615.625
81,616.965
82,632.271
83,632.432
84,632.748
85,632.848
86,632.887
87,632.959
88,633.163
89,633.195
90,633.220
91,633.556
92,633.808
93,634.189
94,634.280
95,637.663
96,650.930
97,651.015
98,651.859
99,652.165
100,668.453
