Percentage served,Time in ms
0,108.077
1,108.477
2,108.680
3,108.825
4,108.979
5,109.273
6,109.397
7,109.772
8,110.060
9,122.051
10,122.354
11,122.520
12,122.707
13,122.888
14,123.157
15,123.278
16,123.415
17,123.588
18,123.792
19,124.097
20,124.541
21,126.352
22,126.707
23,127.000
24,131.744
25,131.960
26,132.032
27,132.147
28,132.223
29,132.289
30,132.427
31,132.624
32,132.828
33,132.992
34,133.148
35,133.480
36,133.923
37,136.240
38,136.516
39,136.602
40,136.718
41,136.770
42,136.867
43,136.901
44,137.014
45,137.157
46,137.309
47,137.575
48,137.730
49,137.845
50,138.022
51,138.535
52,140.244
53,140.767
54,145.458
55,145.798
56,145.932
57,146.071
58,146.245
59,146.838
60,147.170
61,147.734
62,148.793
63,150.071
64,150.233
65,150.384
66,150.462
67,150.574
68,150.713
69,151.005
70,151.316
71,151.757
72,152.083
73,152.907
74,154.253
75,154.863
76,155.179
77,155.372
78,155.539
79,155.658
80,155.886
81,156.157
82,159.605
83,159.869
84,160.014
85,160.052
86,160.132
87,160.182
88,160.244
89,160.306
90,160.376
91,160.472
92,160.624
93,161.018
94,164.253
95,164.505
96,164.784
97,164.894
98,165.106
99,165.636
100,229.684
