Percentage served,Time in ms
0,187.645
1,188.068
2,188.522
3,188.955
4,189.426
5,190.058
6,190.373
7,194.812
8,212.225
9,212.372
10,212.555
11,213.444
12,213.861
13,214.314
14,214.576
15,214.635
16,215.803
17,219.289
18,219.898
19,223.543
20,228.808
21,228.915
22,229.207
23,229.344
24,229.450
25,229.586
26,229.718
27,229.990
28,230.192
29,230.666
30,231.035
31,231.336
32,234.339
33,236.182
34,236.891
35,237.009
36,237.113
37,237.174
38,237.340
39,237.430
40,237.549
41,237.626
42,237.870
43,238.116
44,238.492
45,238.745
46,238.929
47,239.222
48,239.437
49,241.125
50,245.329
51,247.374
52,252.967
53,253.199
54,253.370
55,253.525
56,254.551
57,255.623
58,255.699
59,256.592
60,260.381
61,260.836
62,261.088
63,261.230
64,261.645
65,261.853
66,262.754
67,263.530
68,264.006
69,265.114
70,268.275
71,269.879
72,269.927
73,270.137
74,270.418
75,270.636
76,270.983
77,272.357
78,277.758
79,277.969
80,278.076
81,278.213
82,278.335
83,278.423
84,278.446
85,278.603
86,278.696
87,278.877
88,279.124
89,279.695
90,281.275
91,285.949
92,286.117
93,286.219
94,286.284
95,286.492
96,286.576
97,286.726
98,286.860
99,287.962
100,289.851
