Percentage served,Time in ms
0,426.422
1,426.978
2,427.493
3,428.347
4,429.032
5,429.512
6,430.273
7,481.428
8,482.323
9,482.672
10,482.874
11,485.104
12,485.358
13,485.768
14,486.124
15,486.976
16,490.145
17,498.539
18,519.509
19,520.068
20,520.326
21,520.409
22,520.659
23,520.767
24,520.830
25,521.255
26,521.377
27,521.515
28,521.627
29,521.851
30,521.981
31,522.241
32,522.272
33,522.562
34,523.405
35,524.085
36,524.436
37,525.078
38,526.410
39,536.431
40,538.705
41,538.828
42,538.849
43,538.916
44,539.021
45,539.200
46,539.224
47,539.672
48,539.795
49,539.833
50,539.934
51,539.968
52,540.086
53,540.136
54,540.257
55,540.665
56,540.877
57,542.517
58,542.824
59,543.565
60,543.896
61,551.753
62,559.235
63,575.302
64,575.847
65,576.540
66,577.298
67,580.561
68,582.642
69,592.385
70,593.827
71,593.885
72,593.985
73,594.362
74,594.631
75,595.037
76,595.601
77,598.733
78,614.002
79,614.622
80,614.829
81,616.843
82,617.558
83,632.046
84,632.587
85,632.775
86,632.844
87,633.070
88,633.181
89,633.220
90,633.325
91,633.479
92,633.596
93,634.469
94,634.955
95,636.161
96,637.964
97,650.547
98,651.939
99,653.094
100,657.749
