Percentage served,Time in ms
0,122.712
1,123.381
2,125.557
3,132.749
4,135.913
5,137.138
6,137.392
7,138.754
8,140.219
9,142.242
10,145.940
11,146.929
12,147.699
13,148.822
14,150.462
15,151.124
16,151.551
17,152.089
18,152.549
19,152.865
20,154.049
21,155.912
22,157.659
23,159.010
24,160.317
25,161.618
26,162.149
27,163.010
28,164.647
29,165.204
30,166.500
31,168.537
32,171.235
33,172.056
34,173.345
35,174.667
36,175.480
37,175.715
38,176.177
39,177.109
40,178.130
41,179.053
42,179.390
43,180.891
44,182.189
45,183.423
46,184.887
47,187.049
48,188.345
49,188.879
50,190.773
51,192.235
52,193.626
53,195.730
54,197.037
55,198.109
56,199.281
57,200.487
58,201.896
59,202.757
60,203.889
61,204.782
62,205.217
63,206.433
64,207.740
65,209.379
66,210.560
67,211.223
68,212.601
69,213.794
70,214.997
71,215.882
72,217.375
73,218.439
74,219.026
75,219.773
76,220.307
77,220.860
78,221.362
79,222.779
80,223.894
81,224.462
82,224.758
83,225.382
84,226.005
85,226.996
86,227.989
87,229.147
88,230.778
89,232.266
90,233.443
91,234.583
92,237.051
93,237.960
94,240.822
95,243.634
96,245.191
97,247.863
98,252.697
99,263.844
100,288.812
