Percentage served,Time in ms
0,441.298
1,442.282
2,445.298
3,447.740
4,453.096
5,455.653
6,458.022
7,460.528
8,483.425
9,491.955
10,493.073
11,496.296
12,496.963
13,497.995
14,500.021
15,500.495
16,501.391
17,504.094
18,505.906
19,509.253
20,513.814
21,514.781
22,521.139
23,527.142
24,534.646
25,535.062
26,535.147
27,535.270
28,535.575
29,535.756
30,536.651
31,539.081
32,539.615
33,546.411
34,548.144
35,553.637
36,553.762
37,553.882
38,553.993
39,554.513
40,554.655
41,554.912
42,556.266
43,557.044
44,557.097
45,557.266
46,557.903
47,561.354
48,563.323
49,565.203
50,568.396
51,570.385
52,572.697
53,573.726
54,575.809
55,579.907
56,581.121
57,581.704
58,590.951
59,594.728
60,595.301
61,596.327
62,597.042
63,597.214
64,599.516
65,602.470
66,606.634
67,607.459
68,608.391
69,610.229
70,611.905
71,615.395
72,620.497
73,624.506
74,628.747
75,628.886
76,630.658
77,632.148
78,636.632
79,647.185
80,647.387
81,647.945
82,648.245
83,648.987
84,654.581
85,658.689
86,661.429
87,666.092
88,666.379
89,667.728
90,668.969
91,678.592
92,681.788
93,688.144
94,693.042
95,695.195
96,697.727
97,703.597
98,707.551
99,715.526
100,729.225
