Percentage served,Time in ms
0,480.754
1,480.941
2,481.702
3,481.961
4,483.253
5,483.554
6,485.365
7,486.290
8,486.759
9,489.971
10,494.456
11,519.143
12,536.257
13,536.695
14,537.912
15,539.027
16,539.975
17,540.608
18,541.222
19,541.740
20,543.347
21,543.667
22,544.121
23,544.809
24,546.261
25,552.571
26,574.506
27,574.761
28,575.318
29,576.191
30,576.645
31,576.767
32,577.717
33,577.978
34,578.107
35,578.333
36,579.462
37,580.161
38,581.293
39,582.050
40,583.706
41,591.487
42,592.975
43,593.541
44,594.231
45,594.905
46,595.613
47,596.030
48,596.361
49,596.816
50,597.236
51,597.397
52,597.660
53,598.264
54,598.486
55,598.986
56,599.621
57,603.738
58,629.336
59,631.094
60,631.594
61,631.964
62,632.757
63,633.321
64,637.903
65,639.959
66,647.499
67,648.457
68,649.642
69,650.318
70,652.266
71,653.631
72,653.997
73,654.343
74,654.855
75,656.076
76,670.123
77,670.907
78,672.029
79,672.317
80,676.611
81,679.933
82,686.178
83,686.603
84,686.965
85,687.177
86,687.363
87,687.902
88,688.058
89,688.171
90,688.683
91,690.115
92,692.002
93,702.849
94,704.660
95,705.506
96,707.629
97,708.092
98,710.121
99,713.307
100,724.204
