Percentage served,Time in ms
0,161.169
1,162.775
2,163.363
3,163.759
4,164.404
5,164.690
6,165.042
7,165.781
8,166.677
9,167.413
10,168.664
11,175.854
12,176.839
13,177.014
14,177.265
15,177.475
16,177.900
17,178.373
18,178.743
19,179.407
20,180.019
21,180.378
22,184.323
23,185.382
24,185.788
25,186.018
26,186.307
27,186.584
28,186.872
29,187.125
30,187.402
31,187.686
32,187.995
33,188.370
34,188.624
35,188.968
36,189.351
37,189.826
38,190.096
39,190.319
40,190.617
41,190.855
42,191.030
43,191.293
44,191.486
45,191.604
46,192.014
47,192.362
48,192.655
49,192.851
50,193.436
51,193.673
52,194.063
53,194.736
54,195.392
55,197.410
56,198.882
57,200.096
58,200.549
59,200.786
60,200.979
61,201.448
62,201.753
63,202.058
64,203.188
65,203.785
66,204.348
67,204.738
68,204.921
69,205.449
70,206.001
71,206.302
72,206.999
73,207.634
74,208.082
75,209.184
76,210.157
77,210.538
78,211.085
79,211.660
80,211.947
81,212.863
82,213.533
83,213.737
84,213.976
85,214.572
86,214.802
87,215.123
88,215.304
89,215.488
90,216.114
91,216.336
92,216.900
93,217.310
94,217.990
95,218.545
96,219.324
97,220.194
98,221.168
99,222.254
100,227.002
