Percentage served,Time in ms
0,240.379
1,241.691
2,242.678
3,243.654
4,244.284
5,244.763
6,245.357
7,246.035
8,246.663
9,247.972
10,250.847
11,251.410
12,264.781
13,266.555
14,266.995
15,267.578
16,269.227
17,270.070
18,271.286
19,272.289
20,272.942
21,274.170
22,274.352
23,275.395
24,277.438
25,282.268
26,282.988
27,283.320
28,283.730
29,283.974
30,284.621
31,285.305
32,285.907
33,286.041
34,286.257
35,286.557
36,287.044
37,287.725
38,288.850
39,291.401
40,291.867
41,292.131
42,292.583
43,293.008
44,293.223
45,293.525
46,293.813
47,294.077
48,294.426
49,294.866
50,295.744
51,296.199
52,296.612
53,297.362
54,297.926
55,299.956
56,300.633
57,301.382
58,303.283
59,306.110
60,306.256
61,307.645
62,308.990
63,311.652
64,312.335
65,313.894
66,314.484
67,315.507
68,315.986
69,316.430
70,317.089
71,318.432
72,318.729
73,320.517
74,321.344
75,322.671
76,323.591
77,324.097
78,325.161
79,325.510
80,325.968
81,326.746
82,328.407
83,330.711
84,331.625
85,332.045
86,332.692
87,333.565
88,333.913
89,334.588
90,335.182
91,335.566
92,336.175
93,338.377
94,339.424
95,341.290
96,342.461
97,343.211
98,344.858
99,348.046
100,353.906
