Percentage served,Time in ms
0,479.024
1,480.425
2,480.709
3,483.092
4,483.816
5,484.842
6,485.500
7,485.806
8,485.872
9,486.081
10,486.645
11,488.088
12,489.099
13,490.338
14,491.111
15,495.425
16,535.743
17,537.227
18,537.631
19,538.657
20,539.062
21,539.650
22,540.234
23,540.800
24,541.705
25,543.649
26,545.492
27,547.148
28,548.256
29,552.945
30,553.942
31,555.733
32,572.377
33,574.658
34,574.913
35,575.492
36,576.267
37,577.079
38,577.312
39,577.842
40,578.394
41,578.837
42,579.010
43,579.303
44,580.001
45,580.514
46,580.667
47,582.107
48,584.153
49,589.132
50,590.332
51,592.171
52,592.816
53,593.759
54,594.049
55,595.688
56,596.492
57,596.894
58,597.404
59,597.745
60,598.091
61,598.342
62,599.080
63,599.638
64,600.262
65,602.028
66,608.010
67,628.319
68,633.297
69,634.354
70,639.550
71,646.745
72,648.484
73,649.122
74,650.383
75,651.801
76,655.388
77,664.501
78,668.485
79,671.946
80,672.712
81,673.879
82,674.444
83,678.430
84,685.249
85,686.305
86,687.247
87,687.947
88,690.866
89,691.164
90,692.106
91,694.360
92,696.015
93,697.098
94,704.337
95,705.235
96,705.750
97,706.525
98,707.015
99,710.381
100,718.067
