Percentage served,Time in ms
0,530.110
1,532.501
2,533.220
3,533.229
4,534.326
5,534.872
6,536.771
7,536.802
8,537.644
9,538.843
10,539.979
11,540.368
12,560.297
13,561.979
14,563.305
15,563.552
16,564.437
17,600.941
18,601.782
19,604.406
20,604.766
21,605.326
22,605.632
23,605.941
24,606.043
25,607.124
26,609.095
27,610.764
28,631.453
29,637.052
30,649.423
31,650.558
32,650.760
33,650.846
34,650.902
35,651.410
36,651.719
37,652.005
38,652.769
39,655.714
40,656.042
41,657.052
42,671.919
43,672.764
44,673.005
45,673.250
46,673.350
47,673.571
48,673.671
49,673.909
50,674.417
51,674.584
52,674.825
53,677.261
54,678.212
55,678.327
56,678.614
57,678.995
58,684.052
59,684.681
60,687.677
61,689.305
62,706.437
63,707.066
64,707.315
65,711.883
66,712.802
67,713.296
68,718.499
69,719.495
70,739.599
71,740.644
72,742.465
73,752.887
74,766.940
75,767.541
76,767.895
77,768.020
78,776.295
79,778.984
80,789.550
81,790.240
82,790.332
83,790.486
84,790.649
85,790.651
86,790.968
87,790.994
88,791.178
89,791.309
90,792.155
91,804.840
92,812.956
93,813.721
94,813.810
95,814.281
96,815.710
97,830.816
98,833.913
99,853.769
100,853.907
