Percentage served,Time in ms
0,107.861
1,108.406
2,108.527
3,108.661
4,108.821
5,108.986
6,109.212
7,109.342
8,109.565
9,109.716
10,109.975
11,110.263
12,110.717
13,112.623
14,122.116
15,122.502
16,122.729
17,122.962
18,123.175
19,123.306
20,123.472
21,123.720
22,123.931
23,124.193
24,125.046
25,131.338
26,131.589
27,131.746
28,131.859
29,131.964
30,132.026
31,132.108
32,132.183
33,132.342
34,132.415
35,132.488
36,132.612
37,132.785
38,132.898
39,133.017
40,133.239
41,133.460
42,133.785
43,135.710
44,136.230
45,136.400
46,136.479
47,136.590
48,136.687
49,136.789
50,136.947
51,137.008
52,137.120
53,137.271
54,137.390
55,137.478
56,137.648
57,137.863
58,138.021
59,138.237
60,139.249
61,140.783
62,145.664
63,145.884
64,146.388
65,146.743
66,147.051
67,147.409
68,148.431
69,150.239
70,150.509
71,151.018
72,151.528
73,151.840
74,153.260
75,154.981
76,155.230
77,155.408
78,155.554
79,155.793
80,156.170
81,159.385
82,159.643
83,159.782
84,159.832
85,159.920
86,160.026
87,160.091
88,160.218
89,160.344
90,160.514
91,160.661
92,160.821
93,161.067
94,161.574
95,164.147
96,164.452
97,164.716
98,164.967
99,165.485
100,189.379
