Percentage served,Time in ms
0,531.890
1,532.819
2,533.188
3,537.909
4,601.973
5,602.221
6,604.528
7,605.654
8,606.579
9,608.419
10,622.414
11,622.717
12,622.783
13,623.879
14,629.657
15,631.528
16,634.655
17,648.712
18,649.325
19,649.709
20,650.766
21,650.864
22,651.060
23,651.452
24,651.982
25,652.289
26,654.149
27,654.577
28,654.619
29,655.137
30,672.255
31,672.284
32,672.539
33,672.614
34,672.697
35,673.053
36,673.618
37,673.814
38,674.072
39,676.730
40,677.323
41,677.589
42,682.486
43,685.749
44,686.549
45,688.406
46,690.200
47,691.299
48,692.551
49,718.087
50,718.797
51,719.217
52,740.228
53,740.517
54,740.768
55,741.648
56,742.039
57,742.239
58,742.492
59,743.965
60,746.296
61,753.434
62,754.978
63,761.185
64,761.920
65,763.810
66,764.099
67,765.920
68,767.004
69,767.637
70,767.655
71,767.747
72,767.946
73,769.673
74,770.485
75,777.510
76,777.638
77,779.138
78,789.647
79,789.870
80,789.998
81,790.015
82,790.112
83,790.179
84,790.212
85,790.407
86,790.442
87,792.925
88,800.347
89,804.736
90,805.246
91,806.121
92,806.388
93,812.903
94,813.682
95,828.795
96,829.059
97,829.973
98,851.586
99,853.361
100,854.180
