Percentage served,Time in ms
0,107.808
1,108.247
2,108.356
3,108.503
4,108.623
5,108.889
6,109.051
7,109.211
8,109.356
9,109.455
10,110.083
11,121.896
12,122.071
13,122.311
14,122.502
15,122.659
16,122.847
17,122.968
18,123.142
19,123.379
20,123.508
21,123.849
22,126.153
23,131.422
24,131.538
25,131.634
26,131.719
27,131.769
28,131.871
29,131.965
30,132.007
31,132.085
32,132.173
33,132.308
34,132.583
35,132.743
36,132.886
37,133.134
38,134.446
39,135.980
40,136.141
41,136.233
42,136.320
43,136.399
44,136.444
45,136.513
46,136.560
47,136.609
48,136.742
49,136.914
50,137.054
51,137.186
52,137.256
53,137.392
54,137.543
55,137.939
56,140.418
57,141.694
58,145.353
59,145.486
60,145.583
61,145.674
62,145.839
63,145.930
64,146.192
65,146.903
66,147.190
67,149.587
68,149.878
69,150.011
70,150.115
71,150.423
72,150.583
73,151.127
74,151.374
75,151.815
76,152.861
77,154.810
78,155.137
79,155.320
80,155.390
81,155.563
82,155.887
83,159.457
84,159.556
85,159.654
86,159.743
87,159.817
88,159.889
89,159.945
90,160.037
91,160.110
92,160.160
93,160.377
94,161.002
95,164.061
96,164.277
97,164.425
98,164.602
99,164.966
100,168.871
