Percentage served,Time in ms
0,187.593
1,188.142
2,188.333
3,188.602
4,189.259
5,189.418
6,189.851
7,190.008
8,190.108
9,190.789
10,212.349
11,212.543
12,213.177
13,213.505
14,213.830
15,214.108
16,214.267
17,214.614
18,215.025
19,216.126
20,219.205
21,220.047
22,220.971
23,222.202
24,228.979
25,229.174
26,229.372
27,229.459
28,229.535
29,229.610
30,229.726
31,229.912
32,230.034
33,230.137
34,230.287
35,230.526
36,230.941
37,231.054
38,231.206
39,231.525
40,231.937
41,232.397
42,236.475
43,236.991
44,237.186
45,237.417
46,237.488
47,237.568
48,237.727
49,237.757
50,237.849
51,238.018
52,238.103
53,238.311
54,238.549
55,238.746
56,238.940
57,239.060
58,239.230
59,239.598
60,240.079
61,241.794
62,253.661
63,253.840
64,253.970
65,254.798
66,257.352
67,260.510
68,260.915
69,261.526
70,261.797
71,262.122
72,262.752
73,264.895
74,268.592
75,269.313
76,270.383
77,270.665
78,270.766
79,270.950
80,271.152
81,271.663
82,277.954
83,278.150
84,278.254
85,278.433
86,278.597
87,278.670
88,278.698
89,278.834
90,279.149
91,279.333
92,279.525
93,280.139
94,286.088
95,286.312
96,286.705
97,286.894
98,287.013
99,287.380
100,289.071
