Percentage served,Time in ms
0,426.756
1,427.247
2,427.846
3,428.393
4,429.938
5,430.715
6,431.843
7,481.356
8,482.464
9,482.650
10,483.334
11,485.645
12,485.864
13,486.983
14,487.164
15,487.669
16,488.390
17,489.808
18,519.466
19,520.392
20,520.778
21,521.028
22,521.269
23,521.312
24,521.451
25,521.775
26,521.928
27,522.193
28,523.104
29,524.628
30,525.801
31,528.077
32,538.292
33,538.757
34,538.970
35,539.132
36,539.249
37,539.253
38,539.656
39,539.731
40,540.068
41,540.590
42,540.896
43,541.872
44,542.376
45,542.618
46,542.671
47,542.866
48,543.156
49,544.302
50,545.794
51,553.982
52,573.833
53,575.710
54,576.018
55,576.270
56,576.472
57,576.809
58,577.272
59,578.919
60,581.449
61,582.435
62,585.637
63,593.722
64,594.212
65,594.584
66,595.567
67,595.718
68,598.513
69,599.280
70,600.027
71,600.830
72,614.298
73,615.018
74,615.055
75,615.343
76,615.629
77,616.100
78,618.674
79,632.521
80,632.831
81,633.234
82,633.273
83,633.307
84,633.606
85,633.813
86,634.002
87,634.022
88,634.219
89,634.798
90,637.124
91,650.999
92,651.085
93,651.204
94,651.385
95,651.898
96,651.934
97,652.288
98,652.358
99,652.768
100,654.507
