Percentage served,Time in ms
0,545.096
1,549.155
2,561.433
3,564.815
4,567.089
5,569.250
6,570.880
7,571.148
8,573.153
9,573.751
10,575.283
11,578.517
12,579.068
13,580.697
14,589.742
15,599.391
16,599.395
17,600.229
18,605.966
19,626.399
20,628.390
21,629.824
22,630.341
23,630.502
24,630.744
25,631.358
26,631.974
27,632.537
28,633.334
29,634.026
30,634.725
31,641.054
32,645.956
33,647.425
34,649.145
35,650.022
36,655.344
37,662.380
38,665.498
39,666.060
40,667.742
41,669.082
42,671.291
43,672.843
44,674.417
45,677.488
46,678.747
47,680.237
48,681.387
49,682.002
50,682.159
51,682.687
52,683.395
53,683.627
54,684.385
55,684.714
56,685.925
57,686.063
58,687.186
59,688.425
60,690.946
61,694.357
62,696.735
63,697.675
64,703.111
65,704.236
66,704.598
67,709.137
68,711.174
69,717.012
70,721.699
71,722.013
72,722.260
73,722.626
74,724.691
75,726.365
76,726.888
77,729.460
78,734.133
79,735.548
80,735.909
81,737.483
82,738.446
83,739.316
84,739.799
85,739.920
86,740.713
87,741.132
88,743.913
89,746.369
90,747.674
91,749.788
92,752.658
93,754.816
94,754.935
95,757.322
96,763.905
97,765.491
98,769.406
99,798.252
100,801.810
