Percentage served,Time in ms
0,248.107
1,249.617
2,250.215
3,250.914
4,251.873
5,253.287
6,254.179
7,255.672
8,256.152
9,257.703
10,259.025
11,260.357
12,262.676
13,263.503
14,264.860
15,265.678
16,266.424
17,267.410
18,268.591
19,269.157
20,269.338
21,269.957
22,270.773
23,271.305
24,272.148
25,272.951
26,273.997
27,274.354
28,274.958
29,275.843
30,276.098
31,276.497
32,276.667
33,276.925
34,277.137
35,277.733
36,278.092
37,278.219
38,278.547
39,278.903
40,279.462
41,279.640
42,279.958
43,280.202
44,280.490
45,280.752
46,280.890
47,281.509
48,282.035
49,282.740
50,283.116
51,283.462
52,284.130
53,284.530
54,284.861
55,285.479
56,285.793
57,286.533
58,287.392
59,287.995
60,288.484
61,289.186
62,290.254
63,291.031
64,291.397
65,291.883
66,292.475
67,292.959
68,293.372
69,293.650
70,294.361
71,294.830
72,295.301
73,296.689
74,296.992
75,297.550
76,298.362
77,298.520
78,299.094
79,299.699
80,299.901
81,300.339
82,301.570
83,301.948
84,302.436
85,303.336
86,303.487
87,303.838
88,304.777
89,305.511
90,305.713
91,306.505
92,307.170
93,308.415
94,309.000
95,309.979
96,311.373
97,312.042
98,314.677
99,319.529
100,336.659
