Percentage served,Time in ms
0,428.134
1,429.675
2,429.807
3,430.029
4,431.008
5,432.122
6,432.630
7,433.400
8,435.998
9,448.368
10,484.115
11,486.013
12,487.432
13,487.891
14,488.175
15,488.229
16,489.241
17,489.824
18,500.154
19,503.014
20,504.133
21,506.402
22,522.140
23,523.066
24,523.460
25,524.123
26,524.702
27,525.607
28,526.333
29,526.824
30,527.063
31,527.666
32,529.059
33,529.690
34,536.773
35,540.087
36,540.499
37,541.166
38,541.246
39,541.474
40,541.774
41,541.961
42,542.666
43,542.902
44,544.360
45,545.024
46,545.188
47,545.321
48,545.571
49,545.823
50,546.288
51,547.037
52,548.427
53,548.530
54,558.366
55,573.384
56,577.676
57,578.070
58,578.672
59,580.106
60,581.179
61,594.732
62,595.955
63,596.248
64,596.416
65,598.064
66,601.213
67,601.578
68,612.941
69,616.720
70,617.322
71,617.541
72,617.921
73,618.824
74,622.719
75,630.216
76,634.869
77,635.049
78,635.178
79,635.399
80,635.461
81,635.547
82,635.694
83,635.805
84,635.937
85,636.099
86,636.692
87,636.732
88,637.191
89,641.682
90,644.565
91,652.947
92,653.248
93,653.544
94,653.879
95,653.976
96,654.158
97,654.340
98,655.708
99,656.322
100,656.837
