Percentage served,Time in ms
0,163.112
1,163.857
2,164.089
3,164.313
4,164.608
5,165.100
6,165.768
7,166.537
8,168.326
9,176.491
10,183.552
11,184.289
12,184.694
13,184.895
14,185.745
15,186.185
16,186.490
17,186.984
18,188.236
19,189.955
20,191.935
21,198.065
22,198.790
23,199.000
24,199.186
25,199.293
26,199.469
27,199.630
28,200.105
29,200.670
30,201.413
31,201.916
32,202.691
33,205.511
34,205.731
35,205.796
36,206.015
37,206.282
38,206.515
39,206.660
40,206.971
41,207.140
42,207.375
43,207.495
44,207.748
45,208.231
46,208.653
47,208.846
48,210.220
49,211.551
50,212.519
51,214.860
52,217.179
53,219.414
54,219.605
55,220.086
56,220.646
57,221.408
58,221.750
59,222.009
60,222.406
61,224.136
62,225.879
63,226.326
64,226.529
65,227.305
66,228.300
67,228.780
68,230.261
69,231.244
70,232.614
71,233.352
72,234.000
73,234.308
74,234.592
75,235.021
76,235.904
77,237.217
78,238.420
79,240.330
80,240.901
81,240.994
82,241.103
83,241.198
84,241.321
85,241.611
86,241.866
87,242.225
88,243.477
89,243.967
90,244.687
91,246.898
92,247.648
93,248.085
94,248.565
95,250.167
96,252.282
97,253.901
98,256.270
99,258.587
100,269.821
