Percentage served,Time in ms
0,135.070
1,135.488
2,135.697
3,135.771
4,135.869
5,135.977
6,136.137
7,136.435
8,136.502
9,136.851
10,137.129
11,137.420
12,152.485
13,152.651
14,152.859
15,152.974
16,153.142
17,153.544
18,154.068
19,154.339
20,154.597
21,154.706
22,154.994
23,156.072
24,164.613
25,164.759
26,164.828
27,164.910
28,165.001
29,165.063
30,165.116
31,165.191
32,165.249
33,165.280
34,165.349
35,165.434
36,165.488
37,165.559
38,165.624
39,165.805
40,166.197
41,166.387
42,167.086
43,170.200
44,170.457
45,170.539
46,170.666
47,170.740
48,170.818
49,170.877
50,170.978
51,171.022
52,171.080
53,171.171
54,171.272
55,171.401
56,171.640
57,171.814
58,171.966
59,172.178
60,172.347
61,172.629
62,181.608
63,181.971
64,182.123
65,182.328
66,182.941
67,183.964
68,187.377
69,187.505
70,187.737
71,187.939
72,188.026
73,188.227
74,189.136
75,189.618
76,189.895
77,193.173
78,193.984
79,194.304
80,194.498
81,194.703
82,196.755
83,199.744
84,199.875
85,199.930
86,200.019
87,200.062
88,200.165
89,200.248
90,200.307
91,200.356
92,200.418
93,200.727
94,201.166
95,205.349
96,205.581
97,205.783
98,205.880
99,206.206
100,210.519
