Percentage served,Time in ms
0,426.238
1,427.505
2,428.139
3,428.929
4,430.189
5,430.234
6,431.124
7,431.202
8,431.538
9,431.883
10,432.511
11,434.655
12,481.911
13,482.279
14,482.813
15,484.648
16,484.933
17,485.283
18,485.810
19,486.946
20,488.850
21,520.353
22,520.640
23,521.210
24,521.399
25,521.491
26,521.751
27,522.097
28,523.082
29,523.947
30,524.442
31,524.569
32,524.622
33,524.715
34,524.818
35,524.874
36,524.927
37,525.013
38,525.319
39,525.379
40,525.444
41,526.152
42,526.651
43,526.915
44,538.514
45,538.655
46,538.851
47,538.988
48,539.467
49,539.825
50,539.861
51,539.928
52,540.038
53,540.209
54,540.445
55,540.746
56,540.834
57,541.130
58,542.261
59,542.431
60,542.668
61,543.218
62,543.378
63,543.676
64,543.914
65,544.149
66,544.358
67,548.826
68,575.334
69,575.812
70,576.507
71,577.648
72,593.392
73,593.998
74,594.183
75,595.653
76,599.419
77,614.605
78,614.910
79,614.968
80,615.079
81,615.360
82,616.777
83,632.808
84,633.254
85,633.519
86,633.630
87,633.696
88,634.018
89,634.075
90,634.147
91,634.220
92,634.360
93,637.538
94,651.356
95,651.579
96,651.745
97,652.737
98,654.590
99,771.915
100,833.243
