Percentage served,Time in ms
0,248.278
1,250.089
2,250.938
3,252.158
4,252.527
5,253.178
6,253.909
7,254.960
8,255.690
9,256.120
10,258.517
11,259.834
12,261.511
13,263.135
14,264.189
15,265.058
16,265.385
17,266.271
18,266.863
19,267.257
20,267.963
21,268.873
22,269.319
23,269.593
24,270.494
25,271.284
26,271.676
27,272.588
28,273.360
29,273.840
30,274.636
31,275.014
32,275.188
33,275.484
34,275.628
35,275.970
36,276.265
37,276.548
38,276.744
39,276.912
40,277.602
41,278.298
42,278.625
43,278.808
44,279.033
45,279.669
46,280.442
47,280.996
48,281.203
49,281.308
50,282.406
51,283.181
52,283.664
53,284.050
54,284.444
55,285.127
56,285.801
57,287.265
58,287.920
59,288.535
60,288.997
61,289.476
62,289.871
63,290.501
64,291.063
65,292.094
66,292.713
67,292.999
68,294.499
69,295.199
70,295.500
71,296.098
72,296.978
73,297.874
74,298.480
75,299.545
76,300.399
77,300.843
78,301.323
79,301.721
80,301.822
81,302.354
82,302.903
83,304.083
84,304.541
85,304.746
86,305.167
87,305.251
88,305.707
89,306.239
90,306.801
91,307.178
92,307.323
93,308.615
94,309.451
95,309.854
96,311.027
97,311.867
98,313.570
99,315.913
100,319.036
