Percentage served,Time in ms
0,540.736
1,545.794
2,546.952
3,547.057
4,548.176
5,563.073
6,566.392
7,568.715
8,569.405
9,570.538
10,572.264
11,572.950
12,573.468
13,573.679
14,574.497
15,576.349
16,580.946
17,585.156
18,587.220
19,591.323
20,598.765
21,605.280
22,624.093
23,627.210
24,627.468
25,627.682
26,629.339
27,633.386
28,633.495
29,635.589
30,636.526
31,640.597
32,653.254
33,653.817
34,657.205
35,659.894
36,661.252
37,662.569
38,662.594
39,663.458
40,663.687
41,665.255
42,666.315
43,666.503
44,667.198
45,668.878
46,670.722
47,672.279
48,674.420
49,676.686
50,678.346
51,680.329
52,681.032
53,681.202
54,681.815
55,682.661
56,682.962
57,683.500
58,683.508
59,683.799
60,685.737
61,686.696
62,688.166
63,688.600
64,692.675
65,692.798
66,695.557
67,695.921
68,695.933
69,698.778
70,702.294
71,702.565
72,712.776
73,716.693
74,717.532
75,718.145
76,720.187
77,725.093
78,725.734
79,727.958
80,732.201
81,734.214
82,735.019
83,735.185
84,736.452
85,737.308
86,738.609
87,740.425
88,741.342
89,742.798
90,743.443
91,744.790
92,744.981
93,745.736
94,750.242
95,755.009
96,756.794
97,760.521
98,761.284
99,765.972
100,819.360
