Percentage served,Time in ms
0,215.809
1,216.194
2,216.466
3,216.585
4,216.888
5,217.441
6,217.830
7,217.917
8,218.175
9,218.300
10,218.535
11,219.038
12,221.734
13,243.439
14,243.996
15,244.411
16,244.862
17,245.028
18,245.424
19,245.658
20,245.843
21,245.925
22,246.346
23,262.644
24,262.866
25,262.958
26,263.053
27,263.149
28,263.298
29,263.400
30,263.452
31,263.538
32,263.726
33,263.867
34,264.037
35,264.566
36,264.751
37,265.003
38,265.150
39,265.264
40,265.386
41,265.482
42,265.682
43,271.564
44,271.712
45,271.935
46,272.155
47,272.323
48,272.460
49,272.592
50,272.695
51,272.869
52,273.001
53,273.156
54,273.486
55,273.871
56,274.025
57,274.139
58,274.514
59,274.747
60,274.815
61,275.373
62,290.086
63,290.265
64,290.634
65,290.888
66,291.407
67,293.580
68,298.898
69,299.259
70,299.834
71,300.141
72,301.821
73,309.629
74,310.039
75,310.140
76,310.449
77,310.534
78,310.689
79,310.880
80,311.380
81,319.018
82,319.107
83,319.238
84,319.356
85,319.418
86,319.475
87,319.533
88,319.564
89,319.608
90,319.806
91,319.851
92,320.258
93,321.339
94,328.059
95,328.368
96,328.458
97,328.743
98,328.958
99,329.319
100,330.535
