Percentage served,Time in ms
0,533.784
1,534.377
2,534.489
3,534.501
4,534.962
5,535.850
6,536.967
7,537.972
8,538.809
9,538.980
10,539.282
11,539.438
12,539.805
13,540.810
14,602.434
15,603.688
16,603.706
17,604.161
18,604.455
19,606.068
20,606.532
21,606.854
22,608.007
23,608.181
24,608.327
25,609.073
26,610.208
27,611.578
28,613.349
29,614.532
30,651.074
31,651.264
32,651.612
33,651.653
34,652.421
35,653.243
36,653.395
37,654.662
38,656.280
39,656.517
40,656.785
41,657.133
42,657.141
43,657.328
44,658.070
45,673.631
46,673.988
47,674.097
48,674.643
49,674.934
50,675.422
51,675.641
52,676.255
53,676.427
54,676.720
55,677.521
56,679.162
57,679.372
58,679.871
59,679.874
60,680.076
61,680.323
62,681.942
63,692.196
64,718.700
65,719.993
66,721.406
67,727.220
68,736.657
69,742.159
70,742.292
71,742.467
72,743.296
73,744.175
74,744.984
75,745.305
76,750.412
77,750.825
78,769.238
79,769.305
80,769.405
81,769.421
82,770.326
83,771.088
84,791.557
85,792.014
86,792.171
87,792.364
88,792.567
89,792.747
90,793.153
91,795.363
92,807.677
93,814.728
94,814.763
95,814.863
96,815.498
97,815.584
98,815.603
99,820.768
100,830.428
