Percentage served,Time in ms
0,134.726
1,134.958
2,135.059
3,135.147
4,135.216
5,135.399
6,135.510
7,135.652
8,135.881
9,136.148
10,136.239
11,136.430
12,136.808
13,138.411
14,143.629
15,146.189
16,149.154
17,152.303
18,152.825
19,153.134
20,153.992
21,155.661
22,157.348
23,157.734
24,157.991
25,159.607
26,163.827
27,164.270
28,164.433
29,164.474
30,164.521
31,164.704
32,164.781
33,164.911
34,164.959
35,165.447
36,165.666
37,165.926
38,166.389
39,168.141
40,169.438
41,169.918
42,170.072
43,170.130
44,170.289
45,170.418
46,170.477
47,170.681
48,170.980
49,171.287
50,171.726
51,171.968
52,172.312
53,173.433
54,174.051
55,174.834
56,175.896
57,176.809
58,178.547
59,181.519
60,181.839
61,182.112
62,182.558
63,183.301
64,184.868
65,185.369
66,186.614
67,187.217
68,187.403
69,187.969
70,188.303
71,189.231
72,189.936
73,190.687
74,192.103
75,192.941
76,193.469
77,193.844
78,193.944
79,194.108
80,194.346
81,194.981
82,196.891
83,199.254
84,199.553
85,199.597
86,199.675
87,199.805
88,199.930
89,200.488
90,203.121
91,204.999
92,205.234
93,205.503
94,206.233
95,207.249
96,209.098
97,211.474
98,214.819
99,217.711
100,225.012
