Percentage served,Time in ms
0,532.448
1,533.209
2,533.356
3,533.415
4,533.499
5,533.925
6,534.268
7,534.737
8,535.278
9,535.853
10,535.937
11,536.672
12,536.843
13,536.976
14,537.037
15,537.236
16,537.380
17,537.485
18,537.795
19,537.935
20,537.960
21,538.566
22,538.973
23,601.614
24,602.519
25,603.394
26,603.456
27,605.766
28,606.173
29,648.928
30,649.989
31,650.067
32,650.137
33,650.173
34,650.372
35,650.437
36,650.494
37,650.495
38,650.562
39,650.620
40,650.789
41,651.234
42,651.304
43,651.500
44,651.671
45,652.005
46,654.113
47,654.970
48,654.988
49,655.140
50,655.601
51,656.285
52,656.914
53,671.910
54,672.013
55,672.456
56,672.536
57,672.707
58,672.860
59,672.891
60,673.049
61,673.228
62,673.516
63,673.794
64,673.833
65,673.969
66,674.308
67,677.260
68,677.926
69,678.404
70,678.613
71,718.540
72,719.016
73,719.886
74,741.136
75,741.788
76,741.863
77,742.497
78,743.317
79,767.171
80,767.452
81,767.470
82,767.658
83,767.728
84,767.997
85,770.195
86,772.683
87,774.928
88,790.178
89,790.425
90,790.662
91,790.773
92,790.808
93,790.841
94,792.350
95,793.449
96,812.433
97,813.018
98,813.136
99,813.464
100,813.645
