Percentage served,Time in ms
0,269.118
1,269.195
2,269.725
3,270.013
4,270.324
5,270.566
6,271.173
7,271.343
8,271.590
9,271.760
10,272.043
11,272.301
12,272.566
13,273.040
14,276.385
15,304.187
16,304.397
17,304.759
18,305.230
19,305.873
20,306.412
21,306.965
22,308.212
23,327.755
24,328.166
25,328.320
26,328.505
27,328.596
28,328.705
29,328.809
30,329.006
31,329.129
32,329.261
33,329.468
34,330.041
35,330.418
36,330.922
37,331.094
38,331.321
39,331.459
40,331.557
41,331.705
42,333.769
43,339.165
44,339.599
45,339.731
46,339.847
47,340.067
48,340.287
49,340.306
50,340.380
51,340.990
52,341.200
53,341.615
54,341.665
55,342.000
56,342.254
57,342.686
58,342.844
59,343.281
60,343.651
61,354.493
62,362.187
63,362.507
64,362.930
65,363.573
66,363.643
67,364.682
68,373.771
69,374.028
70,374.291
71,374.557
72,374.922
73,376.827
74,386.646
75,386.974
76,387.111
77,387.392
78,387.450
79,387.667
80,387.729
81,388.041
82,388.593
83,398.183
84,398.304
85,398.480
86,398.507
87,398.659
88,398.854
89,399.119
90,399.307
91,399.490
92,399.798
93,400.816
94,409.620
95,409.867
96,410.045
97,410.214
98,410.262
99,410.648
100,411.364
