Percentage served,Time in ms
0,109.496
1,110.167
2,110.351
3,110.502
4,110.620
5,110.875
6,111.044
7,111.171
8,111.716
9,112.252
10,116.749
11,124.068
12,124.261
13,124.399
14,124.605
15,124.772
16,124.879
17,125.118
18,125.326
19,125.453
20,125.774
21,126.087
22,128.128
23,130.517
24,133.491
25,133.584
26,133.702
27,133.822
28,133.908
29,134.040
30,134.137
31,134.222
32,134.303
33,134.373
34,134.532
35,134.612
36,134.728
37,134.855
38,135.080
39,135.293
40,135.657
41,137.915
42,138.101
43,138.196
44,138.272
45,138.363
46,138.447
47,138.500
48,138.596
49,138.702
50,138.750
51,138.842
52,138.972
53,139.073
54,139.201
55,139.364
56,139.470
57,139.719
58,139.923
59,140.144
60,140.989
61,147.146
62,147.466
63,147.760
64,148.052
65,148.506
66,148.692
67,149.091
68,149.506
69,151.411
70,151.852
71,152.047
72,152.281
73,152.554
74,153.015
75,153.401
76,153.955
77,154.462
78,156.168
79,156.923
80,157.190
81,157.480
82,157.808
83,158.283
84,161.200
85,161.432
86,161.570
87,161.629
88,161.770
89,161.874
90,161.945
91,162.011
92,162.096
93,162.301
94,162.609
95,163.112
96,166.113
97,166.405
98,166.647
99,167.051
100,169.400
