Percentage served,Time in ms
0,163.791
1,164.261
2,164.535
3,164.867
4,164.970
5,165.216
6,165.402
7,165.638
8,165.902
9,166.164
10,166.437
11,184.438
12,184.865
13,185.216
14,185.639
15,186.005
16,186.168
17,186.706
18,186.903
19,187.659
20,190.535
21,191.349
22,192.306
23,192.716
24,198.599
25,198.977
26,199.199
27,199.350
28,199.397
29,199.509
30,199.632
31,199.725
32,199.929
33,200.267
34,200.444
35,200.621
36,200.916
37,201.080
38,201.327
39,201.551
40,201.982
41,205.273
42,205.928
43,206.105
44,206.188
45,206.356
46,206.665
47,206.853
48,206.959
49,207.191
50,207.413
51,207.536
52,207.747
53,207.812
54,207.927
55,208.079
56,208.438
57,208.795
58,209.895
59,219.520
60,219.755
61,219.963
62,220.182
63,220.463
64,220.724
65,222.683
66,226.526
67,226.622
68,227.077
69,227.479
70,227.702
71,228.301
72,231.787
73,233.073
74,233.979
75,234.404
76,234.509
77,234.611
78,234.991
79,235.265
80,235.566
81,236.141
82,240.936
83,241.039
84,241.260
85,241.399
86,241.458
87,241.666
88,241.726
89,241.827
90,242.018
91,242.310
92,242.443
93,243.001
94,247.640
95,247.940
96,248.188
97,248.364
98,248.664
99,249.692
100,288.646
