Percentage served,Time in ms
0,403.875
1,405.405
2,407.435
3,428.507
4,429.799
5,430.850
6,431.665
7,433.655
8,433.840
9,434.138
10,454.734
11,457.644
12,458.568
13,461.165
14,465.241
15,471.726
16,478.442
17,487.669
18,488.599
19,490.598
20,491.414
21,491.594
22,491.837
23,491.863
24,492.334
25,493.567
26,495.916
27,498.866
28,507.203
29,508.627
30,508.835
31,509.193
32,509.605
33,511.460
34,514.388
35,523.073
36,523.489
37,524.299
38,524.683
39,525.780
40,525.980
41,526.361
42,527.051
43,527.728
44,528.058
45,528.212
46,529.988
47,540.156
48,540.736
49,541.269
50,541.633
51,541.768
52,541.869
53,542.404
54,542.920
55,543.493
56,543.715
57,544.338
58,544.507
59,545.086
60,545.250
61,546.313
62,546.617
63,547.203
64,552.320
65,559.434
66,561.421
67,562.286
68,574.829
69,577.087
70,577.658
71,578.196
72,578.832
73,579.114
74,579.271
75,579.884
76,580.869
77,595.921
78,596.350
79,596.440
80,596.847
81,597.741
82,597.862
83,598.684
84,599.426
85,614.234
86,614.699
87,616.024
88,617.533
89,617.729
90,618.867
91,634.961
92,635.503
93,636.167
94,637.285
95,637.406
96,637.606
97,639.441
98,653.798
99,655.009
100,660.870
