Percentage served,Time in ms
0,250.028
1,257.414
2,259.692
3,262.291
4,267.170
5,271.146
6,272.198
7,273.593
8,274.647
9,275.416
10,276.298
11,277.984
12,279.982
13,281.749
14,282.980
15,284.029
16,284.209
17,284.405
18,285.149
19,286.003
20,286.174
21,286.865
22,287.534
23,288.049
24,288.245
25,288.665
26,289.103
27,289.412
28,289.565
29,290.011
30,290.606
31,290.944
32,291.304
33,291.994
34,292.691
35,292.951
36,294.432
37,294.804
38,295.100
39,295.581
40,296.384
41,296.732
42,297.264
43,298.159
44,298.619
45,299.615
46,300.350
47,301.005
48,301.173
49,301.977
50,302.808
51,303.364
52,303.636
53,304.142
54,304.499
55,305.772
56,306.548
57,307.244
58,307.719
59,308.418
60,308.987
61,309.726
62,310.398
63,310.600
64,311.383
65,311.614
66,312.294
67,312.713
68,313.038
69,313.887
70,314.468
71,314.682
72,315.332
73,315.913
74,316.917
75,317.505
76,317.779
77,318.198
78,318.920
79,319.359
80,319.690
81,320.477
82,322.239
83,322.881
84,323.225
85,324.266
86,325.366
87,326.698
88,327.477
89,328.667
90,330.193
91,330.544
92,331.976
93,333.840
94,335.650
95,336.241
96,337.758
97,343.687
98,347.262
99,351.832
100,355.245
