Percentage served,Time in ms
0,543.929
1,549.767
2,549.900
3,550.532
4,558.676
5,568.408
6,573.798
7,579.669
8,595.473
9,603.525
10,603.959
11,606.496
12,610.639
13,617.177
14,629.225
15,632.133
16,636.882
17,639.125
18,641.113
19,641.864
20,642.855
21,646.243
22,647.036
23,651.282
24,651.528
25,653.524
26,657.618
27,658.982
28,670.105
29,670.768
30,671.411
31,672.170
32,672.750
33,674.836
34,676.888
35,678.226
36,678.237
37,680.899
38,684.747
39,685.538
40,687.298
41,687.737
42,693.663
43,694.245
44,695.882
45,696.042
46,697.063
47,698.963
48,700.161
49,701.610
50,705.240
51,707.124
52,708.330
53,711.410
54,714.122
55,720.739
56,721.988
57,728.915
58,730.674
59,731.866
60,736.367
61,736.876
62,738.891
63,743.417
64,750.125
65,750.853
66,753.544
67,753.797
68,756.658
69,757.286
70,757.825
71,759.585
72,761.235
73,768.804
74,770.894
75,773.076
76,773.560
77,774.139
78,778.434
79,781.812
80,784.473
81,786.117
82,789.662
83,789.701
84,790.186
85,791.301
86,791.310
87,792.112
88,792.559
89,793.337
90,794.361
91,794.939
92,797.260
93,806.056
94,810.475
95,810.643
96,810.717
97,811.798
98,817.410
99,826.608
100,833.611
