Percentage served,Time in ms
0,190.095
1,190.523
2,190.974
3,191.204
4,191.528
5,191.902
6,192.294
7,192.997
8,195.347
9,215.297
10,215.944
11,216.167
12,216.323
13,216.677
14,217.009
15,217.507
16,218.320
17,219.137
18,222.280
19,223.348
20,231.095
21,231.359
22,231.496
23,231.626
24,231.730
25,231.867
26,231.990
27,232.202
28,232.391
29,232.564
30,232.725
31,233.022
32,233.280
33,233.571
34,234.220
35,239.196
36,239.460
37,239.505
38,239.648
39,239.832
40,239.915
41,240.055
42,240.109
43,240.168
44,240.202
45,240.316
46,240.559
47,241.160
48,241.327
49,241.504
50,241.640
51,242.193
52,242.397
53,244.410
54,247.958
55,255.377
56,255.742
57,255.916
58,256.167
59,256.449
60,257.636
61,257.974
62,258.327
63,259.047
64,262.587
65,263.147
66,263.707
67,264.017
68,264.189
69,264.443
70,265.794
71,266.234
72,266.721
73,270.624
74,271.453
75,272.369
76,272.601
77,272.922
78,273.058
79,273.367
80,273.579
81,275.273
82,280.346
83,280.520
84,280.545
85,280.649
86,280.745
87,280.825
88,281.017
89,281.146
90,281.299
91,281.587
92,281.945
93,282.479
94,288.320
95,288.691
96,288.858
97,288.980
98,289.067
99,289.246
100,290.328
