Percentage served,Time in ms
0,428.999
1,429.664
2,430.017
3,430.314
4,430.512
5,430.714
6,432.476
7,432.951
8,433.961
9,484.302
10,484.528
11,485.842
12,487.775
13,488.130
14,488.267
15,488.722
16,490.847
17,491.433
18,501.909
19,521.896
20,522.245
21,523.041
22,523.073
23,523.450
24,523.525
25,523.597
26,523.791
27,523.861
28,523.941
29,524.128
30,524.339
31,525.137
32,526.484
33,526.749
34,527.235
35,527.877
36,529.977
37,540.301
38,540.682
39,541.245
40,541.502
41,541.688
42,541.767
43,541.897
44,541.962
45,542.171
46,542.274
47,542.412
48,542.439
49,542.865
50,543.210
51,543.689
52,543.858
53,545.486
54,545.757
55,546.104
56,546.331
57,546.657
58,547.388
59,577.784
60,578.993
61,579.147
62,579.276
63,579.475
64,580.095
65,590.448
66,596.634
67,597.142
68,597.214
69,599.751
70,601.510
71,602.018
72,604.034
73,616.980
74,617.084
75,617.770
76,617.975
77,634.526
78,634.747
79,634.928
80,635.177
81,635.358
82,635.390
83,635.553
84,635.661
85,635.735
86,635.804
87,635.915
88,635.998
89,636.104
90,636.183
91,636.351
92,636.442
93,636.503
94,637.496
95,640.261
96,653.128
97,653.670
98,655.093
99,655.272
100,656.832
