Percentage served,Time in ms
0,162.255
1,163.983
2,183.543
3,184.252
4,188.318
5,188.493
6,188.619
7,188.787
8,189.286
9,189.522
10,189.909
11,190.010
12,190.294
13,190.472
14,190.810
15,197.375
16,197.780
17,198.018
18,199.331
19,204.079
20,204.498
21,205.340
22,206.295
23,212.344
24,212.795
25,213.103
26,213.878
27,214.202
28,214.486
29,214.871
30,218.010
31,218.675
32,220.409
33,224.611
34,225.732
35,229.192
36,229.432
37,229.503
38,229.703
39,229.760
40,229.931
41,230.084
42,230.255
43,230.456
44,231.081
45,231.370
46,231.758
47,232.482
48,233.124
49,237.130
50,237.390
51,237.467
52,237.652
53,237.791
54,237.896
55,238.046
56,238.240
57,238.383
58,238.801
59,239.117
60,239.318
61,239.477
62,239.658
63,239.872
64,239.979
65,240.223
66,240.393
67,243.994
68,246.833
69,253.697
70,253.918
71,254.282
72,255.364
73,260.978
74,261.582
75,261.762
76,261.947
77,262.142
78,263.067
79,269.180
80,270.158
81,270.445
82,270.641
83,270.821
84,270.876
85,271.001
86,274.787
87,278.524
88,278.700
89,278.805
90,278.937
91,279.184
92,279.239
93,279.601
94,280.623
95,286.149
96,286.660
97,286.930
98,287.078
99,287.538
100,288.861
