Percentage served,Time in ms
0,426.256
1,426.936
2,427.350
3,427.998
4,428.382
5,428.538
6,429.453
7,429.669
8,429.855
9,430.289
10,430.460
11,430.645
12,430.839
13,431.320
14,436.339
15,482.587
16,483.221
17,485.409
18,486.292
19,487.052
20,499.074
21,502.863
22,520.619
23,520.741
24,521.153
25,521.451
26,521.547
27,521.583
28,521.629
29,521.803
30,522.011
31,522.351
32,523.400
33,524.038
34,524.270
35,524.644
36,525.055
37,527.744
38,528.430
39,538.212
40,538.392
41,538.625
42,539.011
43,539.117
44,539.309
45,539.388
46,539.699
47,539.768
48,540.002
49,540.071
50,540.273
51,540.418
52,541.082
53,542.519
54,542.992
55,543.466
56,543.625
57,543.984
58,549.918
59,558.569
60,575.548
61,575.966
62,576.060
63,580.560
64,581.914
65,593.585
66,594.043
67,594.243
68,594.675
69,595.057
70,600.662
71,610.580
72,611.462
73,612.863
74,614.389
75,614.999
76,615.508
77,615.665
78,615.803
79,616.000
80,632.490
81,632.955
82,633.214
83,633.354
84,633.405
85,633.515
86,633.562
87,633.583
88,633.693
89,633.861
90,633.876
91,634.057
92,636.025
93,650.439
94,651.079
95,651.300
96,651.712
97,652.112
98,654.913
99,660.139
100,667.486
