Percentage served,Time in ms
0,54.630
1,55.143
2,55.369
3,55.483
4,55.571
5,55.664
6,55.736
7,55.814
8,55.879
9,55.924
10,55.979
11,56.024
12,56.076
13,56.131
14,56.163
15,56.196
16,56.241
17,56.278
18,56.323
19,56.352
20,56.388
21,56.423
22,56.461
23,56.496
24,56.537
25,56.578
26,56.614
27,56.638
28,56.655
29,56.699
30,56.731
31,56.770
32,56.813
33,56.830
34,56.855
35,56.909
36,56.938
37,56.966
38,57.015
39,57.040
40,57.075
41,57.101
42,57.171
43,57.211
44,57.255
45,57.314
46,57.349
47,57.384
48,57.423
49,57.464
50,57.509
51,57.569
52,57.619
53,57.674
54,57.723
55,57.782
56,57.843
57,57.883
58,57.964
59,58.003
60,58.066
61,58.121
62,58.170
63,58.226
64,58.282
65,58.331
66,58.383
67,58.416
68,58.459
69,58.508
70,58.556
71,58.615
72,58.665
73,58.710
74,58.768
75,58.816
76,58.844
77,58.914
78,58.975
79,59.046
80,59.132
81,59.214
82,59.272
83,59.328
84,59.412
85,59.475
86,59.569
87,59.627
88,59.710
89,59.783
90,59.835
91,59.907
92,59.994
93,60.083
94,60.261
95,60.395
96,60.501
97,60.785
98,61.307
99,62.705
100,274.956
