Percentage served,Time in ms
0,96.842
1,98.025
2,98.433
3,98.725
4,99.012
5,99.111
6,99.233
7,99.330
8,99.455
9,99.541
10,99.719
11,99.845
12,99.959
13,100.066
14,100.214
15,100.352
16,100.448
17,100.567
18,100.680
19,100.791
20,100.882
21,100.929
22,101.020
23,101.089
24,101.184
25,101.268
26,101.397
27,101.470
28,101.554
29,101.736
30,101.917
31,102.002
32,102.160
33,102.273
34,102.428
35,102.553
36,102.692
37,102.805
38,102.953
39,103.063
40,103.233
41,103.511
42,103.697
43,103.855
44,103.993
45,104.237
46,104.315
47,104.449
48,104.526
49,104.648
50,104.825
51,104.954
52,105.020
53,105.154
54,105.270
55,105.442
56,105.578
57,105.713
58,105.837
59,105.927
60,106.106
61,106.269
62,106.552
63,106.737
64,107.050
65,107.390
66,107.802
67,108.259
68,108.851
69,109.498
70,109.966
71,110.436
72,110.807
73,111.018
74,111.359
75,111.634
76,111.928
77,112.148
78,112.436
79,112.798
80,113.182
81,113.619
82,114.076
83,114.382
84,114.784
85,115.251
86,115.507
87,115.926
88,116.107
89,116.516
90,116.771
91,117.085
92,117.496
93,118.019
94,118.469
95,119.047
96,119.504
97,121.506
98,122.956
99,125.669
100,211.151
